STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
10150,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10150.00,2386,425,21.67261601223865,4671,129.55,0.7,0.1499999999999999,27.272727272727256,84000,46350,1725,0.65,4950,0.8,13392.95
10200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2704.85,1725,3389.45,13392.95
10200,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10200.00,3178,167,5.546330122882763,1982,128.93,0.8,-0.04999999999999993,-5.882352941176463,163425,52875,1875,0.8,4125,0.9,13392.95
10250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2659.1,1725,3336.75,13392.95
10250,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10250.00,6,0,0.0,0,0.0,0.0,0.0,0.0,20925,12075,75,0.65,75,1.4,13392.95
10300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10300.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2599.4,1725,3296.0,13392.95
10300,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10300.00,98,8,8.888888888888891,3125,126.6,0.9,0.45,100.0,46725,34800,450,0.8,75,0.85,13392.95
10350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2561.6,1725,3460.7,13392.95
10350,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10350.00,2,2,0.0,552,125.62,1.5,-101.35,-98.54156538648516,22800,13425,150,0.75,75,1.5,13392.95
10400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2503.35,1725,3179.45,13392.95
10400,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10400.00,274,86,45.744680851063826,2742,121.63,0.95,0.29999999999999993,46.15384615384614,85500,36750,525,0.8,75,1.15,13392.95
10450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10450.00,1,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2445.85,1725,3124.75,13392.95
10450,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020PE10450.00,24,-44,-64.70588235294117,378,120.68,0.7,-0.30000000000000004,-30.000000000000004,12825,13125,1125,0.75,75,1.2,13392.95
10500,24-Dec-2020,NIFTY,OPTIDXNIFTY24-12-2020CE10500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8100,8100,1725,2395.5,1725,3066.85,13392.95
